Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
44,20,3,70.0,9200,1,0,3,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,0,0.0,3,3,1,4,3,3,2,4,938,1,3,1,3,938,1,0,1,0,3,1,3,5,6,0,0,2,1977.0,1,1,308,3,3,2,145,0,0,0,0,0,0,7,2008,8,4,130250
45,20,3,70.0,7945,1,3,3,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,0,0.0,3,3,1,3,3,1,5,4,1150,1,5,1,2,1150,1,0,1,0,3,1,3,6,6,0,0,5,1959.0,2,1,300,3,3,2,0,0,0,0,0,0,0,5,2006,8,4,141000
46,120,3,61.0,7658,1,3,3,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,2,412.0,5,3,2,5,3,1,6,1,1752,1,5,1,3,1752,1,0,2,0,2,1,5,6,6,1,4,5,2005.0,2,2,576,3,3,2,196,82,0,0,0,0,0,2,2010,8,4,319900
47,50,3,48.0,12822,1,0,3,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,0,0.0,4,3,2,5,3,1,6,1,1434,1,5,1,3,2149,1,0,1,1,1,1,4,6,6,1,5,5,2003.0,2,2,670,3,3,2,168,43,0,0,198,0,0,8,2009,8,0,239686
48,20,1,84.0,11096,1,3,3,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,0,0.0,4,3,2,4,3,3,6,1,1656,1,5,1,3,1656,0,0,2,0,3,1,4,7,6,0,0,5,2006.0,2,3,826,3,3,2,0,146,0,0,0,0,0,7,2007,8,4,249700
49,190,4,33.0,4456,1,3,3,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,0,0.0,3,3,0,3,3,1,1,1,736,1,4,1,3,1452,0,0,2,0,2,3,3,8,6,0,0,0,0.0,0,0,0,0,0,0,0,0,102,0,0,0,0,6,2009,6,5,113000
50,20,3,66.0,7742,1,3,3,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,0,0.0,3,3,1,3,3,1,4,1,955,1,5,1,3,955,1,0,1,0,3,1,3,6,6,0,0,5,1966.0,1,1,386,3,3,2,0,0,0,0,0,0,0,1,2007,8,4,127000
51,60,3,65.0,13869,1,1,3,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,0,0.0,3,3,2,4,3,3,6,1,794,1,4,1,3,1470,0,1,2,0,3,1,3,6,6,0,0,5,1997.0,3,2,388,3,3,2,0,75,0,0,0,0,0,7,2007,8,4,177000
52,50,4,52.0,6240,1,3,3,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,0,0.0,3,3,2,3,3,1,1,1,816,1,3,1,3,1176,0,0,1,0,3,1,3,6,6,1,4,2,1985.0,1,2,528,3,3,2,112,0,0,0,0,0,400,9,2006,8,4,114500
53,90,4,110.0,8472,0,1,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,0,0.0,2,3,1,4,3,4,2,6,816,1,3,0,3,816,1,0,1,0,2,1,3,5,6,0,0,1,1963.0,1,2,516,3,3,2,106,0,0,0,0,0,0,5,2010,8,4,110000
54,20,3,68.0,50271,1,0,2,4,0,24,2,2,0,2,9,5,1981,1987,1,7,14,15,0,0.0,4,3,1,5,3,4,6,1,1842,1,4,1,3,1842,2,0,0,1,0,1,4,5,6,1,4,5,1981.0,3,3,894,3,3,2,857,72,0,0,0,0,0,11,2006,8,4,385000
55,80,3,60.0,7134,1,3,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,0,0.0,3,3,1,3,3,1,5,1,384,1,3,1,3,1360,0,0,1,0,3,1,3,6,2,1,3,2,1962.0,1,2,572,3,3,2,0,50,0,0,0,0,0,2,2007,8,4,130000
56,20,3,100.0,10175,1,0,3,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,2,272.0,3,3,1,3,3,1,4,1,1425,1,4,1,3,1425,0,0,2,0,3,1,3,7,6,1,4,5,1964.0,2,2,576,3,3,2,0,0,0,407,0,0,0,7,2008,8,4,180500
57,160,1,24.0,2645,1,3,3,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,2,456.0,4,3,2,4,3,1,6,1,970,1,5,1,3,1739,1,0,2,1,3,1,4,7,6,0,0,5,1999.0,3,2,480,3,3,2,115,0,0,0,0,0,0,8,2009,8,0,172500
58,60,3,89.0,11645,1,0,3,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,0,0.0,4,3,2,4,3,1,1,1,860,1,5,1,3,1720,0,0,2,1,3,1,4,7,6,0,0,5,2004.0,2,2,565,3,3,2,0,70,0,0,0,0,0,8,2006,8,4,196500
59,60,3,66.0,13682,1,1,1,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,2,1031.0,5,3,2,5,3,4,1,1,1410,1,5,1,3,2945,0,0,3,1,3,1,4,10,6,1,4,6,2006.0,3,3,641,3,3,2,192,0,37,0,0,0,0,10,2006,6,5,438780
60,20,3,60.0,7200,1,3,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,0,0.0,3,3,1,3,3,3,5,1,780,1,5,1,3,780,0,0,1,0,2,1,3,4,6,0,0,2,1973.0,1,1,352,3,3,2,196,0,0,0,0,0,0,1,2008,8,4,124900
61,20,3,63.0,13072,1,3,3,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,0,0.0,3,3,2,4,3,1,5,1,1158,1,5,1,3,1158,1,0,1,1,3,1,4,5,6,0,0,2,2006.0,1,2,576,3,3,2,0,50,0,0,0,0,0,5,2006,6,5,158000
62,75,4,60.0,7200,1,3,3,4,0,9,2,2,0,4,5,7,1920,1996,1,1,8,8,0,0.0,3,3,0,3,2,1,1,1,530,1,3,0,3,1111,0,0,1,0,3,1,2,6,6,0,0,2,1935.0,1,1,288,3,3,0,0,0,144,0,0,0,0,3,2007,8,4,101000
63,120,3,44.0,6442,1,0,3,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,4,178.0,4,3,2,4,4,2,6,1,1370,1,5,1,3,1370,0,0,2,0,2,1,4,6,6,1,4,5,2006.0,2,2,484,3,3,2,120,49,0,0,0,0,0,10,2007,8,4,202500
64,70,4,50.0,10300,1,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,11,12,0,0.0,3,3,0,3,3,1,1,1,576,1,4,1,3,1710,0,0,2,0,3,1,3,9,6,0,0,2,1990.0,1,2,480,3,3,2,12,11,64,0,0,0,0,4,2010,8,4,140000
65,60,3,70.0,9375,1,3,3,4,0,5,2,2,0,5,7,5,1997,1998,1,1,12,13,2,573.0,3,3,2,4,3,1,6,1,1057,1,5,1,3,2034,1,0,2,1,3,1,4,8,6,0,0,5,1998.0,2,2,645,3,3,2,576,36,0,0,0,0,0,2,2009,8,4,219500
66,60,3,76.0,9591,1,3,3,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,2,344.0,4,3,2,5,3,3,1,1,1143,1,5,1,3,2473,0,0,2,1,4,1,4,9,6,1,4,6,2004.0,2,3,852,3,3,2,192,151,0,0,0,0,0,10,2007,8,4,317000
67,20,3,73.0,19900,1,3,3,4,0,12,3,2,0,2,7,5,1970,1989,1,1,9,10,2,287.0,3,3,1,4,3,4,6,1,1947,1,3,1,3,2207,1,0,2,0,3,1,3,7,2,1,4,5,1970.0,2,2,576,3,3,2,301,0,0,0,0,0,0,7,2010,8,4,180000
68,20,3,72.0,10665,1,0,3,4,0,5,2,2,0,2,7,5,2003,2003,1,1,12,13,2,167.0,4,3,2,4,3,3,6,1,1453,1,5,1,3,1479,1,0,2,0,3,1,4,7,6,0,0,5,2003.0,2,2,558,3,3,2,144,29,0,0,0,0,0,6,2007,8,4,226000
69,30,4,47.0,4608,1,3,3,0,0,17,0,2,0,2,4,6,1945,1950,1,1,8,8,0,0.0,3,4,1,3,3,1,1,1,747,1,3,1,3,747,0,0,1,0,2,1,3,4,6,0,0,5,1945.0,1,1,220,3,3,2,0,0,0,0,0,0,0,6,2010,8,4,80000
70,50,3,81.0,15593,1,3,3,0,0,4,2,2,0,0,7,4,1953,1953,1,1,3,0,0,0.0,4,3,1,3,3,1,4,1,1304,2,3,1,3,2287,0,0,2,0,3,1,3,7,6,1,3,5,1953.0,3,2,667,3,3,2,0,21,114,0,0,0,0,7,2006,8,4,225000
71,20,3,95.0,13651,1,0,3,4,0,12,2,2,0,2,7,6,1973,1973,1,1,9,10,2,1115.0,3,4,1,4,3,4,5,1,2223,1,5,1,3,2223,1,0,2,0,3,1,3,8,6,2,4,5,1973.0,3,2,516,3,3,2,300,0,0,0,0,0,0,2,2007,8,4,244000
72,20,3,69.0,7599,1,3,3,0,0,11,2,2,0,2,4,6,1982,2006,1,1,6,10,0,0.0,3,3,1,3,3,1,5,1,845,1,3,1,3,845,1,0,1,0,2,1,3,4,6,0,0,2,1987.0,1,2,360,3,3,2,0,0,0,0,0,0,0,6,2007,8,4,129500
73,60,3,74.0,10141,1,0,3,0,0,8,2,2,0,5,7,5,1998,1998,1,1,12,13,2,40.0,3,3,2,4,3,1,1,1,832,1,4,1,3,1718,0,0,2,1,3,1,3,7,6,1,3,5,1998.0,3,2,427,3,3,2,0,94,0,0,291,0,0,12,2009,8,4,185000
74,20,3,85.0,10200,1,3,3,4,0,12,2,2,0,2,5,7,1954,2003,1,1,13,14,2,104.0,3,3,1,3,3,1,5,4,1086,1,4,1,3,1086,1,0,1,0,3,1,3,6,6,0,0,5,1989.0,1,2,490,3,3,2,0,0,0,0,0,0,0,5,2010,8,4,144900
75,50,4,60.0,5790,1,3,3,0,0,17,2,2,0,5,3,6,1915,1950,2,1,12,13,0,0.0,4,4,1,2,3,1,1,1,840,1,4,0,3,1605,0,0,2,0,3,2,3,8,6,0,0,2,1915.0,1,1,379,3,3,2,0,0,202,0,0,0,0,5,2010,8,4,107400
76,180,4,21.0,1596,1,3,3,4,0,10,2,2,3,7,4,5,1973,1973,1,1,5,5,0,0.0,3,3,1,4,3,4,6,1,462,1,3,1,3,988,1,0,1,0,2,1,3,5,6,0,0,6,1973.0,1,1,297,3,3,2,120,101,0,0,0,0,0,11,2009,8,4,91000
77,20,3,73.0,8475,1,0,3,4,0,12,2,2,0,2,4,7,1956,1956,1,1,12,13,0,0.0,3,3,1,3,3,1,5,1,952,1,5,1,2,952,0,0,1,0,2,1,3,4,6,0,0,2,1956.0,1,1,283,3,3,2,0,0,0,0,0,0,0,4,2008,8,4,135750
78,50,4,50.0,8635,1,3,3,4,0,3,2,2,0,0,5,5,1948,2001,1,1,13,14,0,0.0,3,3,1,3,3,1,4,6,672,1,3,1,3,1285,1,0,1,0,2,1,3,6,2,0,0,2,1948.0,1,1,240,3,3,2,0,0,0,0,0,0,0,1,2008,8,4,127000
79,90,3,72.0,10778,1,3,3,4,0,19,2,2,2,2,4,5,1968,1968,3,1,6,6,0,0.0,3,3,1,3,3,1,1,1,1768,1,3,0,3,1768,0,0,2,0,4,2,3,8,6,0,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2010,8,4,136500
80,50,4,60.0,10440,1,3,3,0,0,17,2,2,0,5,5,6,1910,1981,1,1,13,14,0,0.0,3,3,2,3,3,1,1,1,440,1,4,1,3,1230,0,0,1,1,2,1,3,5,6,0,0,2,1966.0,1,2,440,3,3,2,74,0,128,0,0,0,0,5,2009,8,4,110000
81,60,3,100.0,13000,1,3,3,0,0,12,2,2,0,5,6,6,1968,1968,1,1,12,13,2,576.0,3,4,1,4,3,1,3,1,896,1,3,1,3,2142,0,0,2,1,4,1,4,8,6,1,4,5,1968.0,3,1,509,3,3,2,0,72,0,0,252,0,0,6,2009,8,4,193500
82,120,4,32.0,4500,1,3,3,2,0,11,2,2,4,2,6,5,1998,1998,3,1,12,13,2,443.0,3,4,2,5,4,1,6,1,1237,1,5,1,3,1337,1,0,2,0,2,1,3,5,6,0,0,5,1998.0,3,2,405,3,3,2,0,199,0,0,0,0,0,3,2006,8,4,153500
83,20,3,78.0,10206,1,3,3,4,0,21,2,2,0,2,8,5,2007,2007,1,1,12,13,4,468.0,3,3,2,4,3,1,6,1,1563,1,5,1,3,1563,0,0,2,0,3,1,4,6,6,1,4,5,2007.0,2,3,758,3,3,2,144,99,0,0,0,0,0,10,2008,8,4,245000
84,20,3,80.0,8892,1,0,3,4,0,12,2,2,0,2,5,5,1960,1960,1,1,8,8,1,66.0,3,3,1,3,3,1,1,1,1065,1,4,1,3,1065,0,0,1,1,3,1,3,6,6,0,0,2,1974.0,1,2,461,3,3,2,74,0,0,0,0,0,0,7,2007,0,4,126500
85,80,3,65.0,8530,1,0,3,4,0,8,2,2,0,7,7,5,1995,1996,1,1,6,6,2,22.0,3,3,2,4,3,1,1,1,384,1,4,1,3,1474,0,0,2,1,3,1,3,7,6,1,3,6,1995.0,3,2,400,3,3,2,120,72,0,0,0,0,700,5,2009,8,4,168500
